year,count/song
1989,6.090909091
1990,4
1991,4.368421053
1992,3.592592593
1993,5.666666667
1994,5.333333333
1995,6.888888889
1996,7.545454545
1997,6
1998,4.6
1999,7.636363636
2000,7
2001,3.111111111
2002,4.333333333
2003,7
2004,6
2005,3.555555556
2006,5.857142857
2007,4.222222222
2008,5.714285714
2009,6.625
2010,7.1
2011,8.714285714
2012,6
2013,9.166666667
