year,songs
1989,11
1990,17
1991,19
1992,27
1993,27
1994,9
1995,9
1996,11
1997,8
1998,15
1999,11
2000,10
2001,9
2002,9
2003,11
2004,7
2005,9
2006,7
2007,9
2008,7
2009,8
2010,10
2011,7
2012,8
2013,6
